"disasterNumber","totalNumberIaApproved","totalAmountIhpApproved","totalAmountHaApproved","totalAmountOnaApproved","totalObligatedAmountPa","totalObligatedAmountCatAb","totalObligatedAmountCatC2g","paLoadDate","iaLoadDate","totalObligatedAmountHmgp","hash","lastRefresh","id"
3601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3de68baba960e69da445cf822d3dd859081fb34a","2023-10-09T23:02:26.341Z","faafecca-0f76-4fb8-8ffd-b6f46f3b712c"
3602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58566c446fce5cabbd0c3412a6bb3daa4ada1993","2023-10-09T23:02:26.341Z","b74f0dc2-fab5-42b9-acf7-c94df14d85ad"
1239,NA,NA,NA,NA,8225378.98,4219882.47,3961713.95,"2023-11-06T00:00:00.000Z",NA,3887494,"ca537b52814322d160d9170e47aa76a7436509a5","2023-11-06T04:42:49.773Z","fbadbc68-1994-4887-99c0-5bde4c871699"
1257,NA,NA,NA,NA,33279674.22,9756691.41,23183628.92,"2023-11-06T00:00:00.000Z",NA,18906913,"b30f36f5a1d7e5a2cb2b13bd6e0541e22289aa79","2023-11-06T04:42:49.773Z","ddf55646-8caf-43f9-8848-768bc6f075d6"
1260,NA,NA,NA,NA,9863594,3896685.75,5833055.72,"2023-11-06T00:00:00.000Z",NA,1875688,"2eba8a1e7242ab520492ee925304cecc055f0bef","2023-11-06T04:42:49.773Z","3de1038d-284d-474a-a3cd-5e630878e56b"
1261,NA,NA,NA,NA,5735788.21,2349946.79,3385841.42,"2023-11-06T00:00:00.000Z",NA,1096729,"90d4aa7f464ae0210638aa9c649f8c5fe1892252","2023-11-06T04:42:49.773Z","8bb364fb-e866-446b-a8f9-6593a4ed868c"
1262,NA,NA,NA,NA,15377362.84,4437805.23,10793815.08,"2023-11-06T00:00:00.000Z",NA,1494499,"5a3fa0ceb7d3d198ca8fa855adf03253b2d861c6","2023-11-06T04:42:49.773Z","5bcd8ecc-3e95-432b-9f29-988a2703e08b"
1264,NA,NA,NA,NA,3033110.28,882780.99,2135164.26,"2023-11-06T00:00:00.000Z",NA,915473,"6536c5e34eccb7e46119cdd583efe49e3fcb4b81","2023-11-06T04:42:49.773Z","5f4aa63b-68d9-4fe7-bab8-72c73740b8ea"
1265,NA,NA,NA,NA,6970269.48,2590192.47,4349918.09,"2023-11-06T00:00:00.000Z",NA,1319820,"e36c3960847d86f8018499ae180e219794e03a7b","2023-11-06T04:42:49.773Z","b1b6ea71-a34b-4ca1-a49d-172b4ff5dce5"
1266,NA,NA,NA,NA,7265330.4,4572203.46,2603875.52,"2023-11-06T00:00:00.000Z",NA,3634575,"4dcff5cdd627bb9ddd30f96a1c03bf04bcabb09d","2023-11-06T04:42:49.773Z","edd1ba25-08f1-4656-bc64-2bf89f5302ba"
1268,NA,NA,NA,NA,721979.29,43929.52,655398.71,"2023-11-06T00:00:00.000Z",NA,120352,"cb8f7eae610877bb767f9ffc18af237b8a50926e","2023-11-06T04:42:49.773Z","dedd959b-91d8-45e4-906b-9e4ad6970ae4"
1269,NA,NA,NA,NA,1737569.4,898066.5,810242.78,"2023-11-06T00:00:00.000Z",NA,1037030,"073fddfb4cd1c4ec20aa191b34601afc9cb44de3","2023-11-06T04:42:49.773Z","63d02757-5e9e-4dd4-b4e4-be6a9c77fa14"
1271,NA,NA,NA,NA,1868757.98,1691960.54,176797.44,"2023-11-06T00:00:00.000Z",NA,495343,"555ad74ea9ea4deff6b3452a47ec8c5cb4bd7bcf","2023-11-06T04:42:49.773Z","256dc382-3524-4245-8720-a8e26dd5a930"
1272,NA,NA,NA,NA,40588743.22,29892462.64,10342694.45,"2023-11-06T00:00:00.000Z",NA,12665798,"a1626ca10f398c509a9645f439f3be9b51b5dc4d","2023-11-06T04:42:49.773Z","6708e090-b031-40f2-bc81-02b03f811538"
1273,NA,NA,NA,NA,3144097.57,2597610.34,546487.23,"2023-11-06T00:00:00.000Z",NA,1764725,"139749742d440a3bf7ff21cd60989ed4ffd216a2","2023-11-06T04:42:49.773Z","dc50eeb2-78be-4037-9989-389279e9f144"
1274,NA,NA,NA,NA,1525086.7,1060865.15,587622.94,"2023-11-06T00:00:00.000Z",NA,778869,"c11f4564a726e0eb96bbf6e20ad8a980cfbfb2e7","2023-11-06T04:42:49.773Z","8eb4b534-60c0-4cb7-b731-5c8979c555a6"
1275,NA,NA,NA,NA,5322523.58,2426827.39,2821849.55,"2023-11-06T00:00:00.000Z",NA,853245,"4435214906b45b5b033572698238b46d2e4f2257","2023-11-06T04:42:49.773Z","b5df86f8-9a3d-4710-9f9f-3ab8c0026a10"
1276,NA,NA,NA,NA,5242416.68,546984.2,4587872.59,"2023-11-06T00:00:00.000Z",NA,1158596,"18d0e1423690f0eb7f8c70949baf4ae1f44ea62a","2023-11-06T04:42:49.773Z","923f7cd7-4297-4d42-88e8-08a438dfc489"
1277,NA,NA,NA,NA,8534710.43,1862546.18,6422742.96,"2023-11-06T00:00:00.000Z",NA,2449736,"d8499f19f949399c4b8b969fa4a26eb4f960a616","2023-11-06T04:42:49.773Z","7ac64c94-cb5c-49d0-948d-c5a1aaea294c"
1278,NA,NA,NA,NA,501235.42,20563.57,469397.28,"2023-11-06T00:00:00.000Z",NA,113954,"ba1809e759a95b65d866f8a40117232ea37b3842","2023-11-06T04:42:49.773Z","c823326f-369c-4671-9bbf-bfada96af205"
1279,NA,NA,NA,NA,48334834.63,3905669.96,43752362,"2023-11-06T00:00:00.000Z",NA,11742244,"86b1d1877fd7eaaf8ae3ea3a625d8f690326b85a","2023-11-06T04:42:49.773Z","b963fca3-630c-42c0-8e83-ae86c5bf34c5"
1280,NA,NA,NA,NA,801099.77,621063.41,162372.31,"2023-11-06T00:00:00.000Z",NA,1152684,"e7eaa9a04ce1c013d93d7599582b1d1e7cdc1413","2023-11-06T04:42:49.773Z","ac038809-29c9-456b-a125-216d3b7f6289"
1281,NA,NA,NA,NA,4736115,429615.84,4190877.14,"2023-11-06T00:00:00.000Z",NA,704930,"cf405e79c998e254169c6155aceab4e954e5e202","2023-11-06T04:42:49.773Z","b5f2c3b2-ce5c-4069-880b-07ee864c49c5"
1282,NA,NA,NA,NA,10955690.74,1814403.47,8883933.06,"2023-11-06T00:00:00.000Z",NA,2636499,"82122f2e932789837400c3862db3d670f6c21d7c","2023-11-06T04:42:49.773Z","9079addd-7679-4e48-9cb4-fb2219270c77"
1283,NA,NA,NA,NA,11679939.6,3332720.86,8260184.09,"2023-11-06T00:00:00.000Z",NA,2769144,"d7417a95dafd7437ad572d298748507e30737060","2023-11-06T04:42:49.773Z","ebdedcb3-2041-4780-849b-4782f31d7136"
1284,NA,NA,NA,NA,4064691.72,950005.26,3086906.66,"2023-11-06T00:00:00.000Z",NA,641581,"324bfa160a9171e94e2ecb09fb3ed074723d4b40","2023-11-06T04:42:49.773Z","0a0b9509-8894-4c9b-8934-38efd2d519ff"
1285,NA,NA,NA,NA,518798.92,331705.11,182722.6,"2023-11-06T00:00:00.000Z",NA,86350,"7fccc45544db25d2c786988a6973438808d26400","2023-11-06T04:42:49.773Z","64218f42-55a8-404e-94a0-415cb9fda556"
1286,NA,NA,NA,NA,2083481.55,147935.45,1935546.1,"2023-11-06T00:00:00.000Z",NA,621569,"0c552a78b0f511e3566481418b1b1803bedc3f7a","2023-11-06T04:42:49.773Z","500643d7-2cf0-4bd6-9bf5-788e50879eaf"
1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,2167204,"1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0","2023-03-18T13:22:12.883Z","0f5ed8dd-d8e5-4328-9155-372206b47182"
1287,NA,NA,NA,NA,3704291.45,2689766.86,906909.42,"2023-11-06T00:00:00.000Z",NA,3182052,"87de16ab9bd93f3687e3d2b81b64aa410d3fe5ec","2023-11-06T04:42:49.773Z","7dcbbbff-4ac0-478f-b343-b4bc3528b388"
1288,NA,NA,NA,NA,7734889.99,727111.27,6928401.83,"2023-11-06T00:00:00.000Z",NA,1359545,"46c49b36f4c69c0f09f1ddaf4c55b8b2a702e764","2023-11-06T04:42:49.773Z","e7c98567-12ea-4363-8f88-132950033e55"
1270,NA,NA,NA,NA,NA,NA,NA,NA,NA,319783,"bb3c5cb8faf9c3e5606bd3f86ff09da517907068","2023-03-18T13:22:12.883Z","df214994-59d2-4075-b52c-894f7f4b358e"
1289,NA,NA,NA,NA,785818.09,84066.71,685083.81,"2023-11-06T00:00:00.000Z",NA,305977,"b89cf8666616abe3a80196d1c67d614c6c6eceb1","2023-11-06T04:42:49.773Z","a5800c30-3eff-4fd8-99e9-d884bd69f429"
